level,band,band_name,colors,empty_tubes,min_moves,forced_move_ratio,mean_branching,mean_scatter,difficulty_score,is_breather
1,0,First Pours,3,2,5,0.2000,2.600,2.333,18.47,false
2,0,First Pours,3,2,5,0.2000,3.200,2.333,18.47,false
3,0,First Pours,3,2,6,0.1667,2.667,2.000,23.56,false
4,0,First Pours,3,2,6,0.1667,3.167,2.000,23.56,false
5,0,First Pours,3,2,6,0.1667,2.167,2.000,23.56,false
6,0,First Pours,3,2,7,0.2857,3.000,2.333,25.71,false
7,0,First Pours,3,2,6,0.1667,2.833,2.333,27.51,false
8,0,First Pours,3,2,7,0.2857,2.143,2.667,29.66,false
9,0,First Pours,4,2,8,0.1250,3.125,2.250,32.15,false
10,0,First Pours,4,2,8,0.1250,2.875,2.500,35.11,false
11,0,First Pours,4,2,8,0.1250,3.875,2.750,38.07,false
12,0,First Pours,4,2,9,0.1111,3.444,2.500,41.10,false
13,0,First Pours,4,2,9,0.1111,3.556,2.750,44.06,false
14,0,First Pours,4,2,10,0.1000,3.200,2.500,46.89,false
15,0,First Pours,4,2,10,0.1000,4.100,2.750,49.85,false
16,1,Finding Rhythm,5,2,12,0.0833,2.917,2.800,52.30,false
17,1,Finding Rhythm,5,2,15,0.2000,3.533,2.800,56.00,false
18,1,Finding Rhythm,5,2,14,0.1429,2.857,2.800,56.06,false
19,1,Finding Rhythm,5,2,13,0.0769,4.846,3.200,61.49,false
20,1,Finding Rhythm,4,2,9,0.1111,2.889,2.500,41.10,true
21,1,Finding Rhythm,5,2,13,0.0769,3.923,3.200,61.49,false
22,1,Finding Rhythm,5,2,14,0.0714,4.786,3.000,63.51,false
23,1,Finding Rhythm,5,2,14,0.0714,4.786,3.000,63.51,false
24,1,Finding Rhythm,5,2,14,0.0714,3.286,3.000,63.51,false
25,1,Finding Rhythm,5,2,14,0.0714,4.429,3.200,65.88,false
26,1,Finding Rhythm,5,2,14,0.0714,3.643,3.200,65.88,false
27,1,Finding Rhythm,5,2,14,0.0714,4.571,3.200,65.88,false
28,1,Finding Rhythm,5,2,14,0.0714,4.571,3.200,65.88,false
29,1,Finding Rhythm,5,2,16,0.1250,3.250,3.200,66.07,false
30,1,Finding Rhythm,4,2,10,0.1000,3.600,2.500,46.89,true
31,1,Finding Rhythm,5,2,16,0.1250,3.250,3.200,66.07,false
32,1,Finding Rhythm,6,2,16,0.0625,4.250,3.167,66.12,false
33,1,Finding Rhythm,6,2,16,0.0625,5.250,3.167,66.12,false
34,1,Finding Rhythm,6,2,18,0.1667,3.333,3.333,67.36,false
35,1,Finding Rhythm,6,2,17,0.0588,3.235,3.000,67.74,false
36,1,Finding Rhythm,6,2,17,0.0588,4.412,3.000,67.74,false
37,1,Finding Rhythm,6,2,19,0.1579,3.053,3.333,67.98,false
38,1,Finding Rhythm,6,2,20,0.1000,3.400,3.000,68.15,false
39,1,Finding Rhythm,6,2,20,0.1000,3.650,3.000,68.15,false
40,1,Finding Rhythm,4,2,10,0.1000,2.900,2.750,49.85,true
41,1,Finding Rhythm,6,2,21,0.1429,3.238,3.333,69.05,false
42,1,Finding Rhythm,6,2,17,0.1176,4.588,3.500,69.49,false
43,1,Finding Rhythm,6,2,17,0.0588,4.176,3.333,71.69,false
44,1,Finding Rhythm,6,2,17,0.0588,4.118,3.333,71.69,false
45,1,Finding Rhythm,6,2,20,0.1000,2.850,3.333,72.10,false
46,1,Finding Rhythm,6,2,18,0.0556,4.667,3.167,73.28,false
47,1,Finding Rhythm,7,2,21,0.0476,3.905,3.000,74.54,false
48,1,Finding Rhythm,7,2,21,0.0476,5.190,3.000,74.54,false
49,1,Finding Rhythm,7,2,23,0.0435,3.391,3.000,74.83,false
50,1,Finding Rhythm,4,2,10,0.1000,3.700,2.750,49.85,true
51,1,Finding Rhythm,7,2,22,0.0909,3.909,3.286,74.85,false
52,1,Finding Rhythm,7,2,23,0.1304,3.478,3.571,75.42,false
53,1,Finding Rhythm,7,2,21,0.0952,3.286,3.429,76.23,false
54,1,Finding Rhythm,7,2,20,0.0500,3.850,3.429,76.59,false
55,1,Finding Rhythm,7,2,21,0.0476,4.333,3.286,77.93,false
56,1,Finding Rhythm,7,2,21,0.0476,5.476,3.286,77.93,false
57,1,Finding Rhythm,7,2,22,0.0455,4.864,3.286,78.08,false
58,1,Finding Rhythm,7,2,20,0.0500,4.050,3.571,78.29,false
59,1,Finding Rhythm,7,2,21,0.0476,4.190,3.429,79.62,false
60,1,Finding Rhythm,7,2,22,0.0455,6.182,3.429,79.77,false
61,2,Deep Water,8,2,24,0.0833,5.042,3.500,80.59,false
62,2,Deep Water,8,2,24,0.0417,6.417,3.250,80.59,false
63,2,Deep Water,8,2,25,0.0400,5.120,3.250,80.71,false
64,2,Deep Water,8,2,26,0.1154,4.923,3.750,81.28,false
65,2,Deep Water,8,2,24,0.0417,3.917,3.375,82.07,false
66,2,Deep Water,8,2,25,0.0400,5.120,3.375,82.19,false
67,2,Deep Water,8,2,25,0.0400,5.480,3.375,82.19,false
68,2,Deep Water,8,2,26,0.0385,4.692,3.375,82.30,false
69,2,Deep Water,8,2,25,0.0800,3.600,3.625,82.31,false
70,2,Deep Water,6,2,17,0.1765,3.235,3.167,61.35,true
71,2,Deep Water,8,2,24,0.0417,4.583,3.500,83.56,false
72,2,Deep Water,8,2,24,0.0417,4.792,3.500,83.56,false
73,2,Deep Water,8,2,24,0.0417,6.167,3.500,83.56,false
74,2,Deep Water,8,2,25,0.0400,3.880,3.500,83.67,false
75,2,Deep Water,8,2,25,0.0400,7.000,3.500,83.67,false
76,2,Deep Water,8,2,25,0.0400,5.040,3.500,83.67,false
77,2,Deep Water,8,2,25,0.0400,4.120,3.500,83.67,false
78,2,Deep Water,8,2,26,0.0385,4.846,3.500,83.78,false
79,2,Deep Water,8,2,24,0.0417,4.083,3.625,85.04,false
80,2,Deep Water,6,2,14,0.0714,4.429,2.667,52.90,true
81,2,Deep Water,8,2,25,0.0400,5.720,3.625,85.16,false
82,2,Deep Water,9,2,27,0.0370,5.889,3.444,85.89,false
83,2,Deep Water,9,2,28,0.0357,5.179,3.444,85.99,false
84,2,Deep Water,9,2,28,0.0714,4.071,3.667,86.08,false
85,2,Deep Water,9,2,28,0.0714,3.500,3.667,86.08,false
86,2,Deep Water,9,2,30,0.0333,4.400,3.444,86.16,false
87,2,Deep Water,9,2,29,0.0690,6.517,3.667,86.26,false
88,2,Deep Water,9,2,27,0.0370,4.593,3.556,87.21,false
89,2,Deep Water,9,2,28,0.0357,4.393,3.556,87.30,false
90,2,Deep Water,6,2,17,0.1765,3.706,3.333,63.33,true
91,2,Deep Water,9,2,28,0.0357,6.821,3.556,87.30,false
92,2,Deep Water,9,2,29,0.0345,3.621,3.556,87.39,false
93,2,Deep Water,9,2,30,0.0333,4.767,3.556,87.47,false
94,2,Deep Water,9,2,29,0.0690,4.793,3.778,87.57,false
95,2,Deep Water,9,2,27,0.0370,5.889,3.667,88.53,false
96,2,Deep Water,9,2,27,0.0370,6.000,3.667,88.53,false
97,2,Deep Water,9,2,28,0.0357,3.964,3.667,88.62,false
98,2,Deep Water,9,2,28,0.0357,6.393,3.667,88.62,false
99,2,Deep Water,9,2,30,0.0333,7.100,3.667,88.79,false
100,2,Deep Water,6,2,17,0.1765,2.824,3.000,59.38,true
101,2,Deep Water,9,2,30,0.0333,5.333,3.667,88.79,false
102,2,Deep Water,10,2,34,0.1176,3.412,4.000,89.41,false
103,2,Deep Water,10,2,31,0.0323,4.484,3.500,89.56,false
104,2,Deep Water,10,2,31,0.0323,6.581,3.500,89.56,false
105,2,Deep Water,10,2,31,0.0323,4.806,3.500,89.56,false
106,2,Deep Water,10,2,32,0.0313,3.313,3.500,89.63,false
107,2,Deep Water,10,2,33,0.0303,4.758,3.500,89.70,false
108,2,Deep Water,10,2,32,0.0625,5.688,3.700,89.78,false
109,2,Deep Water,10,2,32,0.0625,3.750,3.700,89.78,false
110,2,Deep Water,6,2,16,0.0625,3.563,3.000,64.15,true
111,2,Deep Water,10,2,35,0.0286,4.943,3.500,89.82,false
112,2,Deep Water,10,2,34,0.0588,5.529,3.700,90.04,false
113,2,Deep Water,10,2,31,0.0323,5.355,3.600,90.74,false
114,2,Deep Water,10,2,31,0.0323,8.258,3.600,90.74,false
115,2,Deep Water,10,2,32,0.0313,4.750,3.600,90.81,false
116,2,Deep Water,10,2,32,0.0313,6.781,3.600,90.81,false
117,2,Deep Water,10,2,32,0.0313,3.906,3.600,90.81,false
118,2,Deep Water,10,2,34,0.0294,5.353,3.600,90.95,false
119,2,Deep Water,10,2,31,0.0323,3.452,3.700,91.93,false
120,2,Deep Water,10,2,32,0.0313,4.063,3.700,92.00,false
121,3,Mastery,10,2,32,0.0313,7.000,3.700,92.00,false
122,3,Mastery,10,2,33,0.0303,6.606,3.700,92.07,false
123,3,Mastery,10,2,33,0.0303,3.848,3.700,92.07,false
124,3,Mastery,10,2,33,0.0303,4.333,3.700,92.07,false
125,3,Mastery,10,2,34,0.0294,5.882,3.700,92.13,false
126,3,Mastery,10,2,34,0.0294,4.882,3.700,92.13,false
127,3,Mastery,10,2,32,0.0625,4.156,3.900,92.15,false
128,3,Mastery,10,2,33,0.0606,4.485,3.900,92.28,false
129,3,Mastery,10,2,35,0.0571,4.371,3.900,92.53,false
130,3,Mastery,8,2,23,0.2174,5.174,3.125,64.12,true
